recno,Symbad_Hyades,PAM_clust,sil_width
8509,FALSE,2,0.2621710508875993
8520,FALSE,2,0.22367500827716227
8530,FALSE,2,0.19304514440031484
8535,FALSE,2,0.33444066187000254
8540,FALSE,2,0.3599772551993498
8541,FALSE,2,0.048687099251358015
8550,FALSE,2,0.12366609459039703
8551,FALSE,2,0.26599818439641587
8554,FALSE,2,0.07188424304184875
8564,FALSE,2,0.2268283676009438
8565,FALSE,2,0.1620079741791418
8566,FALSE,2,0.0010607253803677666
8570,FALSE,2,0.13569898237566352
8578,FALSE,2,0.019911140790775158
8589,FALSE,2,0.26622433017112773
8595,FALSE,2,0.2540702178367925
8598,FALSE,2,0.29975008044066914
8599,FALSE,2,0.2594501703289373
9034,FALSE,2,0.04478648979492548
9036,FALSE,2,0.1977123271129468
9037,FALSE,2,0.210210577026047
9046,FALSE,2,0.1290020807887748
9065,FALSE,2,0.10682661145183023
9067,FALSE,2,0.16742437608376554
9068,FALSE,2,0.26138508329805965
9069,FALSE,2,0.05777462367104819
9071,FALSE,2,0.2922927928634139
9073,FALSE,2,0.2948373126974084
9128,FALSE,2,0.2636298173814437
9129,FALSE,2,0.10872570929296205
9130,FALSE,2,0.10486726515209824
9131,FALSE,2,0.08339031789080757
9199,FALSE,2,0.15125687523162468
9222,FALSE,2,0.1252269790757878
9255,FALSE,2,0.31525853256248976
9259,FALSE,2,0.34239700658913397
9275,FALSE,2,0.10984154110205185
9276,FALSE,2,0.32570588695252034
9277,FALSE,2,0.2571150794422684
9291,FALSE,2,0.16047626020767497
9293,FALSE,2,0.10801807592893396
9300,FALSE,2,0.015429042945801883
9306,FALSE,2,0.1783463219806492
9315,FALSE,2,0.30888400671493355
9316,FALSE,2,0.003071246848076738
